,ISO3,year,ndvi
66,IDN,1986,0.7612701904296876
66,IDN,1987,0.7599357788085938
66,IDN,1988,0.7567169799804687
66,IDN,1989,0.7628976745605469
66,IDN,1990,0.7603702880859373
66,IDN,1991,0.7427236755371094
66,IDN,1992,0.7610520141601562
66,IDN,1993,0.7574851196289062
66,IDN,1994,0.7552949584960937
66,IDN,1995,0.7530499450683594
66,IDN,1996,0.7572994079589844
66,IDN,1997,0.7563389282226562
66,IDN,1998,0.7540408020019529
66,IDN,1999,0.7573576904296875
66,IDN,2000,0.7669941833496093
66,IDN,2001,0.7602172241210937
66,IDN,2002,0.7608465087890625
66,IDN,2003,0.7593694580078124
66,IDN,2004,0.7613173645019531
66,IDN,2005,0.7591623229980471
66,IDN,2006,0.7599900146484375
66,IDN,2007,0.7612927734375
66,IDN,2008,0.7528189575195313
66,IDN,2009,0.7607859741210938
66,IDN,2010,0.7658859436035157
66,IDN,2011,0.7596937561035156
66,IDN,2012,0.7605420166015625
66,IDN,2013,0.7680371215820312
66,IDN,2014,0.7619883605957032
66,IDN,2015,0.7660134521484376
66,IDN,2016,0.7711585021972657
66,IDN,2017,0.7694652587890626
66,IDN,2018,0.762305859375
66,IDN,2019,0.7669175781249998
66,IDN,2020,0.7739555114746094
66,IDN,2021,0.7733258972167969
66,IDN,2022,0.7706457763671876
67,IND,1982,0.47621360778808614
67,IND,1983,0.48319727325439454
67,IND,1984,0.4760045013427735
67,IND,1985,0.4874710693359375
67,IND,1986,0.48917232513427733
67,IND,1987,0.48613718795776373
67,IND,1988,0.4922363739013674
67,IND,1989,0.4971002578735353
67,IND,1990,0.49983928298950203
67,IND,1991,0.4740373916625977
67,IND,1992,0.4976881904602052
67,IND,1993,0.49476174163818337
67,IND,1994,0.4974967498779298
67,IND,1995,0.5046243934631349
67,IND,1996,0.5078571052551272
67,IND,1997,0.4952249183654786
67,IND,1998,0.5052192687988281
67,IND,1999,0.4885766525268557
67,IND,2000,0.5003219566345214
67,IND,2001,0.501030834197998
67,IND,2002,0.491897850036621
67,IND,2003,0.5061316375732421
67,IND,2004,0.4905950698852539
67,IND,2005,0.5036323356628418
67,IND,2006,0.5054521446228027
67,IND,2007,0.5114272689819334
67,IND,2008,0.5020329818725586
67,IND,2009,0.5067651176452636
67,IND,2010,0.5394819030761716
67,IND,2011,0.5198880958557129
67,IND,2012,0.5207664756774902
67,IND,2013,0.5345782394409179
67,IND,2014,0.5201334762573241
67,IND,2015,0.5148245925903321
67,IND,2016,0.5268294334411618
67,IND,2017,0.5369935531616211
67,IND,2018,0.5112955474853514
67,IND,2019,0.5570154647827147
67,IND,2020,0.5511583099365236
67,IND,2021,0.5522891235351562
67,IND,2022,0.5549789352416992
45,IRL,1982,0.6643983520507811
45,IRL,1983,0.6585259765625001
45,IRL,1984,0.6644718811035156
45,IRL,1985,0.6691009338378906
45,IRL,1986,0.6457344543457031
45,IRL,1987,0.6493530822753907
45,IRL,1988,0.6614543151855469
45,IRL,1989,0.6707110412597656
45,IRL,1990,0.6858854858398438
45,IRL,1991,0.6685495239257814
45,IRL,1992,0.6751462463378906
45,IRL,1993,0.6716894470214844
45,IRL,1994,0.6856250671386719
45,IRL,1995,0.680539324951172
45,IRL,1996,0.6723351196289061
45,IRL,1997,0.6867866882324218
45,IRL,1998,0.6774307556152344
45,IRL,1999,0.6852295288085937
45,IRL,2000,0.6843852172851562
45,IRL,2001,0.6797539184570313
45,IRL,2002,0.6764023071289064
45,IRL,2003,0.6929512573242188
45,IRL,2004,0.6973702026367189
45,IRL,2005,0.7040591491699218
45,IRL,2006,0.6837801940917968
45,IRL,2007,0.7056444091796875
45,IRL,2008,0.6973146606445313
45,IRL,2009,0.6905863159179687
45,IRL,2010,0.6551670166015625
45,IRL,2011,0.6900523071289065
45,IRL,2012,0.6996518188476564
